Company,Closing Price,Day's Value (mn),Day's Volume (Nos.),Total No. of Outstanding Securities
TB15Y1133,84.16,-,-,"415,000,000"
TB15Y1225,99.58,-,-,"15,000,000"
TB15Y1226,100.85,-,-,"20,000,000"
TB15Y1227,104.38,-,-,"10,000,000"
TB15Y1228,105.65,-,-,"15,000,000"
TB20Y0128,106.94,-,-,"5,000,000"
TB20Y0129,107.72,-,-,"12,500,000"
TB20Y0131,96.12,-,-,"15,000,000"
TB20Y0132,106.60,-,-,"25,000,000"
TB20Y0133,109.68,-,-,"10,000,000"
TB20Y0134,110.08,-,-,"15,000,000"
TB20Y0143,85.71,-,-,"85,000,000"
TB20Y0228,106.98,-,-,"5,000,000"
TB20Y0229,107.75,-,-,"12,500,000"
TB20Y0230,95.27,-,-,"10,000,000"
TB20Y0231,96.08,-,-,"15,000,000"
TB20Y0232,106.92,-,-,"25,000,000"
TB20Y0233,110.29,-,-,"10,000,000"
TB20Y0234,110.03,-,-,"15,000,000"
TB20Y0328,107.10,-,-,"5,000,000"
TB20Y0329,107.77,-,-,"15,000,000"
TB20Y0330,95.32,-,-,"10,000,000"
TB20Y0331,96.16,-,-,"16,000,000"
TB20Y0332,107.12,-,-,"25,000,000"
TB20Y0333,110.36,-,-,"10,000,000"
TB20Y0334,109.49,-,-,"30,000,000"
TB20Y0342,77.30,-,-,"335,000,000"
TB20Y0428,107.20,-,-,"5,000,000"
TB20Y0429,103.28,-,-,"15,000,000"
TB20Y0430,95.30,-,-,"8,000,000"
TB20Y0431,96.21,-,-,"17,500,000"
TB20Y0432,107.37,-,-,"32,500,000"
TB20Y0433,110.44,-,-,"10,000,000"
TB20Y0434,109.51,-,-,"30,000,000"
TB20Y0436,85.37,-,-,"285,000,000"
TB20Y0528,107.31,-,-,"5,000,000"
TB20Y0529,102.08,-,-,"13,320,000"
TB20Y0530,95.26,-,-,"7,500,000"
TB20Y0531,96.18,-,-,"17,500,000"
TB20Y0532,107.61,-,-,"32,500,000"
TB20Y0533,110.49,-,-,"10,000,000"
TB20Y0534,109.55,-,-,"35,000,000"
TB20Y0540,89.28,-,-,"450,000,000"
TB20Y0545,111.12,3.11,"28,000.00","150,000,000"
TB20Y0628,107.33,-,-,"5,000,000"
TB20Y0629,98.93,-,-,"8,000,000"
TB20Y0630,94.90,-,-,"7,500,000"
TB20Y0631,96.16,-,-,"18,500,000"
TB20Y0632,107.79,-,-,"34,100,000"
TB20Y0633,110.64,-,-,"10,000,000"
TB20Y0634,109.47,-,-,"35,000,000"
TB20Y0639,90.37,-,-,"365,000,000"
TB20Y0640,87.32,-,-,"450,000,000"
TB20Y0641,65.09,-,-,"440,000,000"
TB20Y0642,84.11,-,-,"441,303,000"
TB20Y0727,109.97,-,-,"5,000,000"
TB20Y0728,107.39,-,-,"12,500,000"
TB20Y0729,95.40,-,-,"12,500,000"
TB20Y0730,94.87,-,-,"12,500,000"
TB20Y0731,97.67,-,-,"15,000,000"
TB20Y0732,107.88,-,-,"30,000,000"
TB20Y0733,110.74,-,-,"15,000,000"
TB20Y0734,109.40,-,-,"25,000,000"
TB20Y0735,98.97,-,-,"260,000,000"
TB20Y0744,116.04,-,-,"216,682,000"
TB20Y0827,109.59,-,-,"5,000,000"
TB20Y0828,107.50,-,-,"12,500,000"
TB20Y0829,94.08,-,-,"300,000"
TB20Y0830,94.92,-,-,"12,500,000"
TB20Y0831,98.76,-,-,"15,000,000"
TB20Y0832,108.16,-,-,"30,000,000"
TB20Y0833,110.84,-,-,"15,000,000"
TB20Y0834,108.22,-,-,"25,000,000"
TB20Y0927,107.71,-,-,"5,000,000"
TB20Y0928,107.57,-,-,"12,500,000"
TB20Y0930,94.91,-,-,"12,500,000"
TB20Y0931,101.41,-,-,"15,000,000"
TB20Y0932,108.22,-,-,"30,000,000"
TB20Y0933,110.91,-,-,"15,000,000"
TB20Y0934,108.74,-,-,"25,000,000"
TB20Y1027,107.38,-,-,"5,000,000"
TB20Y1028,107.58,-,-,"12,500,000"
TB20Y1029,95.54,-,-,"12,500,000"
TB20Y1030,94.85,-,-,"12,500,000"
TB20Y1031,104.34,-,-,"17,500,000"
TB20Y1032,108.29,-,-,"10,000,000"
TB20Y1033,110.98,-,-,"15,000,000"
TB20Y1034,108.76,-,-,"25,000,000"
TB20Y1127,107.00,-,-,"5,000,000"
TB20Y1128,107.66,-,-,"12,500,000"
TB20Y1130,95.59,-,-,"12,500,000"
TB20Y1131,104.39,-,-,"17,500,000"
TB20Y1132,108.48,-,-,"10,000,000"
TB20Y1133,110.27,-,-,"15,000,000"
TB20Y1134,108.77,-,-,"68,000,000"
TB20Y1135,88.60,-,-,"395,000,000"
TB20Y1138,83.26,-,-,"300,000,000"
TB20Y1227,106.91,-,-,"5,000,000"
TB20Y1228,107.68,-,-,"12,500,000"
TB20Y1229,95.39,-,-,"15,000,000"
TB20Y1230,96.03,-,-,"12,500,000"
TB20Y1231,104.47,-,-,"17,500,000"
TB20Y1232,109.07,-,-,"10,000,000"
TB20Y1233,110.36,-,-,"15,000,000"
TB20Y1242,86.20,-,-,"50,000,000"
TB2Y0126,100.49,-,-,"127,190,000"
TB2Y0127,102.33,-,-,"450,000,000"
TB2Y0227,100.92,-,-,"450,000,000"
TB2Y0327,101.26,-,-,"450,000,000"
TB2Y0426,101.04,-,-,"230,316,000"
TB2Y0427,102.79,-,-,"450,000,000"
TB2Y0526,101.21,-,-,"298,588,000"
TB2Y0527,102.58,-,-,"450,000,000"
TB2Y0626,101.51,-,-,"383,573,000"
TB2Y0627,103.20,-,-,"350,000,000"
TB2Y0727,102.30,-,-,"414,050,000"
TB2Y0826,101.81,-,-,"350,000,000"
TB2Y0925,99.85,-,-,"270,000,000"
TB2Y1026,101.98,-,-,"492,624,000"
TB2Y1125,99.86,0.70,"7,000.00","136,987,000"
TB2Y1126,102.25,-,-,"266,658,000"
TB5Y0128,96.54,-,-,"170,000,000"
TB5Y0230,100.11,-,-,"400,000,000"
TB5Y0326,96.50,-,-,"450,000,000"
TB5Y0327,94.12,-,-,"449,941,000"
TB5Y0428,95.94,-,-,"600,000,000"
TB5Y0429,105.15,-,-,"239,782,000"
TB5Y0430,107.03,-,-,"350,000,000"
TB5Y0527,95.84,-,-,"449,960,000"
TB5Y0529,106.07,-,-,"119,944,000"
TB5Y0626,94.84,-,-,"450,000,000"
TB5Y0628,96.76,-,-,"600,000,000"
TB5Y0630,107.06,-,-,"394,918,000"
TB5Y0727,95.97,-,-,"330,000,000"
TB5Y0828,97.13,-,-,"350,000,000"
TB5Y0926,94.55,-,-,"406,334,000"
TB5Y0928,97.21,-,-,"378,983,000"
TB5Y1025,98.91,-,-,"400,000,000"
TB5Y1029,106.20,-,-,"549,703,000"
TB5Y1126,95.60,-,-,"450,000,000"
TB5Y1127,95.66,-,-,"100,000,000"
TB5Y1128,102.05,-,-,"81,362,000"
TB5Y1225,98.15,-,-,"400,000,000"
TB5Y1228,100.25,-,-,"154,768,000"
TB5Y1229,106.64,-,-,"300,000,000"
TECHNODRUG,31.40,23.09,"730,214.00","131,998,188"
TILIL,56.00,26.37,"464,506.00","40,000,000"
TITASGAS,21.60,18.05,"822,461.00","989,221,831"
TOSRIFA,19.50,9.08,"462,598.00","67,985,119"
TRUSTB1MF,3.70,1.20,"325,528.00","303,586,675"
TRUSTBANK,20.30,38.60,"1,871,698.00","994,079,482"
TUNGHAI,2.70,0.39,"140,393.00","106,653,030"
UCB,10.60,18.71,"1,760,185.00","1,550,375,898"
UCB2PBOND,"4,700.00",-,-,"60,000"
UNILEVERCL,"2,507.70",2.08,831.00,"19,274,318"
UNIONBANK,2.90,0.31,"106,554.00","1,036,280,448"
UNIONCAP,4.80,1.06,"217,711.00","172,573,843"
UNIONINS,34.50,5.63,"161,794.00","48,402,260"
UNIQUEHRL,40.90,28.97,"703,717.00","294,400,000"
UNITEDFIN,13.10,5.78,"437,299.00","187,114,614"
UNITEDINS,39.80,2.03,"50,778.00","44,500,000"
UPGDCL,138.70,21.01,"149,966.00","579,695,270"
USMANIAGL,33.60,0.81,"23,936.00","17,410,900"
UTTARABANK,21.40,82.01,"3,812,425.00","970,268,872"
UTTARAFIN,16.70,0.55,"32,675.00","131,481,504"
VAMLBDMF1,7.00,0.16,"22,817.00","104,320,000"
VAMLRBBF,6.00,0.07,"11,998.00","158,745,000"
VFSTDL,7.40,1.04,"139,991.00","105,580,055"
WALTONHIL,446.70,10.28,"22,879.00","302,928,343"
WATACHEM,137.20,8.36,"60,645.00","14,822,618"
WMSHIPYARD,8.70,2.04,"231,337.00","235,203,769"
YPL,14.30,1.39,"96,509.00","73,698,817"
ZAHEENSPIN,6.90,3.82,"549,622.00","113,828,368"
ZAHINTEX,4.40,0.13,"28,953.00","81,828,549"
ZEALBANGLA,86.90,0.10,"1,170.00","6,000,000"
1JANATAMF,3.40,1.89,"555,913.00","289,923,349"
1STPRIMFMF,21.50,15.12,"698,397.00","20,000,000"
